Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,0.0,0.0,1.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
lexical_n_letters,0.0,0.0,1.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
grammatical_gender,0.0003553093552680191,2.0076275864224733e-06,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
grammatical_number,0.0011700485376848475,2.867434600665624e-06,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
grammatical_pos,0.011256679354480142,1.3685116860529602e-05,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
grammatical_tense,0.0005172383483526744,2.457435465591971e-06,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
grammatical_person,4.9875623371382826e-05,5.118571757061532e-07,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
sequential_posit_from_start,0.0007663842706848421,2.419652451447894e-06,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
sentential_question,0.00010940624318146692,8.899705533966351e-07,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
structural_depth_in_tree,0.00020992028448746096,1.286250953168793e-06,0.0,0.09784968957572221,0.01661244234451112,0.31390396874585097,0.5602692071264567,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,4,True,False,Multivariate
