Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,0.0,0.0,1.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
lexical_n_letters,5.971510119146906e-06,2.5877717690529147e-07,4.044720123328161e-118,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
grammatical_gender,0.000502320214854393,2.5235192859742895e-06,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
grammatical_number,0.0021145617774681455,4.445019798634336e-06,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
grammatical_pos,0.006829795417535745,1.2166036564185284e-05,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
grammatical_tense,0.001327097875107493,4.51365609408242e-06,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
grammatical_person,1.831340398866402e-05,3.6181988357301275e-07,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
sequential_posit_from_start,0.000493302088213906,2.33375694391002e-06,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
sentential_question,5.969705809542231e-05,7.665478082409414e-07,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
structural_depth_in_tree,0.00038017934079797737,2.065269165937425e-06,0.0,0.11602723183731839,0.022809265415492455,0.18672105553035717,0.4321260070573786,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,1,True,False,Multivariate
