Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,0.0,0.0,1.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
lexical_n_letters,0.0,0.0,1.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
grammatical_gender,0.00020782436889243145,1.3752295586043998e-06,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
grammatical_number,0.00044460592078664207,1.5347341673747819e-06,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
grammatical_pos,0.012497082218051734,1.2858397746859e-05,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
grammatical_tense,0.00024532119730829465,1.4699826873728278e-06,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
grammatical_person,3.0769228620203196e-05,3.3902346001109124e-07,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
sequential_posit_from_start,0.0013917833596315528,2.843150924197512e-06,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
sentential_question,0.00037903244543374323,1.4331832406105027e-06,0.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
structural_depth_in_tree,0.0,0.0,1.0,0.08482191517740445,0.012446873158645818,0.40477330213304336,0.6362172683348097,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,7,True,False,Multivariate
