Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,5.998222717561403e-07,5.308680603871051e-08,6.64393723384766e-30,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
lexical_n_letters,0.0,0.0,1.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
grammatical_gender,3.613020403415528e-05,4.245172944028805e-07,0.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
grammatical_number,1.0815460318282768e-06,6.680840383973425e-08,3.0262104338881357e-59,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
grammatical_pos,0.008982595103597496,9.023746193493991e-06,0.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
grammatical_tense,0.00019601765658500112,1.2068066952537805e-06,0.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
grammatical_person,3.8261353766055484e-05,3.8455101918446866e-07,0.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
sequential_posit_from_start,0.00334646064950816,4.125701316359768e-06,0.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
sentential_question,0.0010283488727127208,2.183466536316821e-06,0.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
structural_depth_in_tree,0.0,0.0,1.0,0.08007152708315787,0.010607635029567988,0.47062387531263483,0.6860225418709134,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,9,True,False,Multivariate
