Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,9.429813667340049e-07,6.67606259535822e-08,1.3355370735127378e-45,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
lexical_n_letters,0.0,0.0,1.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
grammatical_gender,0.0,0.0,1.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
grammatical_number,0.0,0.0,1.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
grammatical_pos,0.006405507346684336,7.055144315899204e-06,0.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
grammatical_tense,0.00047135661276663374,1.815313626818117e-06,0.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
grammatical_person,2.9378839535488362e-05,3.47605259961021e-07,0.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
sequential_posit_from_start,0.0019500634980037055,2.9396751517156816e-06,0.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
sentential_question,0.0010934668569243628,2.196734025292926e-06,0.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
structural_depth_in_tree,0.0,0.0,1.0,0.07848515630693925,0.009953763286314268,0.3964204838399159,0.6296188556363433,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,11,True,False,Multivariate
