Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,2.395751168314438e-24,1.897772810669495e-24,0.1034021819395643,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
lexical_n_letters,2.395751168314438e-24,1.897772810669495e-24,0.1034021819395643,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
grammatical_gender,0.0003987884482450544,2.2660284062289398e-06,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
grammatical_number,0.0021098268783859074,4.209694738884431e-06,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
grammatical_pos,0.008298381307505352,1.2291463347161193e-05,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
grammatical_tense,0.0007156426517288493,2.976702472961986e-06,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
grammatical_person,6.276461705131031e-05,6.709980243731673e-07,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
sequential_posit_from_start,0.00035345183742411054,1.844852226472593e-06,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
sentential_question,8.840906113422468e-05,8.94949790956952e-07,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
structural_depth_in_tree,0.00037146657647214106,1.8945083882098543e-06,0.0,0.11131385525436334,0.020574472816206377,0.22422014807127844,0.4735211878830589,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,3,True,False,Multivariate
