Feature,importance,std,pval,score_MAE,score_MSE,score_R2,score_R,dataset,_model,seed,step,add_special_tokens,zscore,take_activation_from,distance_metric,layer,min_max,conditional,Method
sentence_id,2.125815167190545e-05,3.2495983443270466e-07,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
lexical_n_letters,0.0,0.0,1.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
grammatical_gender,6.00007027936238e-05,5.863712708666117e-07,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
grammatical_number,6.834464181489229e-07,6.096091332355297e-08,1.7959696548555043e-29,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
grammatical_pos,0.010261315627842924,9.918728957187734e-06,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
grammatical_tense,0.00015064893327895222,1.031323148057073e-06,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
grammatical_person,6.702312957503785e-05,5.176776456405788e-07,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
sequential_posit_from_start,0.0015467308224949919,2.747446385587765e-06,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
sentential_question,0.0011186468712327921,2.2690665460652122e-06,0.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
structural_depth_in_tree,0.0,0.0,1.0,0.0801682365313473,0.010593947732756147,0.44862617548864786,0.669796863856871,svo_long_word_level_simplif,bert-base-uncased,0,,True,False,mean,euclidean,10,True,False,Multivariate
